tots-ps Acquisition ID	Operator	Adjusted Sample ID	Source Sample ID	Station ID	Sample Type	Arrigo Number	Sampling Gear	(Net) Mesh Size (um)	(Concentrating) Filter Mesh Size (um)	Min Fraction Size (um)	Min Sampling Depth (m)	Max Sampling Depth (m)	(CTD) Volume (L)	(Net) Filtered Volume (L)	Filtered Volume (L)	Concentrated Sample Volume (mL)	(Net) Opening Dimension (mm)	Full Acquisition ID	Number of Images	Acquisition Start Time (Local Time)	Acquisition Start Timestamp (Local Time)	Archival Storage ID	Number of Objects Detected	Results Preview Uploaded?	EcoTaxa Projects	Notes
tots-ps-acq-1	Ethan Li	adjusted-1	source-3	S001	Net Vert	(N/A)	Single location	50	(none)	50						40	TBD	SKQ-ToTS_S001_tots-ps-acq-1	10	(not recorded)		(discarded)	(skip)	(skip)	(skip)	Not a real acquisition; this record was just created to test the logsheet spreadsheet formulas
tots-ps-acq-2	Ethan Li	adjusted-2	source-6	S007	CTD Niskin	17	Single location		15	15	43	43	2		2	13		SKQ-ToTS_S007_tots-ps-acq-2	200	(not recorded)		tots-ps-storage-1	324?	Yes	(skip)	For some reason, the auto-segmentation script fails on this
tots-ps-acq-3	Ethan Li	adjusted-3	source-7	2023-06-19 05:18	Underway	(N/A)	Single location		15	15						38		SKQ-ToTS_45096.2208333333_tots-ps-acq-3	200	(not recorded)		tots-ps-storage-1	164	Yes	(skip)	
tots-ps-acq-4	Ethan Li	adjusted-4	source-8	2023-06-19 11:00	Underway	(N/A)	Single location		20	20						25		SKQ-ToTS_45096.4583333333_tots-ps-acq-4	200	(not recorded)		tots-ps-storage-1	481?	Yes	(skip)	Lots of frames failed to remove a static bubble as background, so objects is an extreme overestimate. Archive accidentally included tots-ps-acq-3 dataset. For some reason, the auto-segmentation script fails on this.
tots-ps-acq-5	Ethan Li	adjusted-5	source-9	2023-06-19 21:30	Underway	(N/A)	Single location		20	20						15		SKQ-ToTS_45096.8958333333_tots-ps-acq-5	200	(not recorded)		tots-ps-storage-1	485	Yes	(skip)	
tots-ps-acq-6	Ethan Li	adjusted-6	source-10	S009	CTD Niskin	22	Single location		20	20	2	2	0.5		0.5	33		SKQ-ToTS_S009_tots-ps-acq-6	200	(not recorded)		tots-ps-storage-1	109	Yes	(skip)	Sample was rather sparse; probably need 400 images instead
tots-ps-acq-7	Ethan Li	adjusted-7	source-11	S009	CTD Niskin	21	Single location		20	20	11	11	0.5		0.5	11.5		SKQ-ToTS_S009_tots-ps-acq-7	200	(not recorded)		tots-ps-storage-1	279	Yes	(skip)	Sample was rather sparse; probably need 400 images instead
tots-ps-acq-8	Ethan Li	adjusted-8	source-12	S011	CTD Niskin	24	Single location		20	20	20	20	0.5		0.5	20		SKQ-ToTS_S011_tots-ps-acq-8	400	(not recorded)		tots-ps-storage-1	999	Yes	(skip)	A fiber got stuck and eventually unstuck on the left edge of the field of view during acquisition
tots-ps-acq-9	Ethan Li	adjusted-9	source-13	S011	CTD Niskin	26	Single location		20	20	2	2	0.5		0.5	15		SKQ-ToTS_S011_tots-ps-acq-9	400	(not recorded)		tots-ps-storage-1	503	Yes	(skip)	
tots-ps-acq-10	Ethan Li	adjusted-10	source-14	2023-06-19 18:23	Underway	(N/A)	Single location		20	20			0.5		0.5	14.5		SKQ-ToTS_45096.7659722222_tots-ps-acq-10	100	(not recorded)		tots-ps-storage-1	98	(skip)	(skip)	Just an example dataset generated during crew training
tots-ps-acq-11	Ethan Li	adjusted-11	source-16	S015	CTD Niskin	34	Single location		20	20	10	10	0.5		0.5	12		SKQ-ToTS_S015_tots-ps-acq-11	400	2023-06-20 09:15	2023-06-20T09:15:00	tots-ps-storage-1	641	Yes		
tots-ps-acq-12	Ethan Li	adjusted-12	source-17	S015	CTD Niskin	35	Single location		20	20	2	2	0.5		0.5	15.5		SKQ-ToTS_S015_tots-ps-acq-12	400	2023-06-20 09:47	2023-06-20T09:47:00	tots-ps-storage-1	691	Yes		
tots-ps-acq-13	Robin Bigasin	adjusted-13	source-18	S015	Ice Core	9014	Single location		(none)	(none)	0	0	(total volume not recorded)		(total volume not recorded)	12.5		SKQ-ToTS_S015_tots-ps-acq-13	400	2023-06-20 15:55	2023-06-20T15:55:00	tots-ps-storage-1	357	Yes	PlanktoScope ToTS SKQ 2023 Ice Core	Ethan was training Robin for this one and forgot to change operator name from Ethan Li to Robin Bigasin. Saw lots of plankton in the sample despite low object count from algorithm.
tots-ps-acq-14	Robin Bigasin	adjusted-14	source-20	S015	CTD Niskin	40	Single location		20	20	10	10	0.5		0.5	19		SKQ-ToTS_S015_tots-ps-acq-14	400	2023-06-20 16:48	2023-06-20T16:48:00	tots-ps-storage-1	386	Yes		
tots-ps-acq-15	Robin Bigasin	adjusted-15	source-21	S015	CTD Niskin	41	Single location		20	20	2	2	0.5		0.5	12.5		SKQ-ToTS_S015_tots-ps-acq-15	400	2023-06-20 18:20	2023-06-20T18:20:00	tots-ps-storage-1	390	Yes		[Robin I think I forgot to label the unique ID as 15! The tar.gz file is still labelled 15. [Ethan] I've renamed the dataset directory inside the tar.gz file to use 15 for the ID, but the metadata file still has 14 for the ID; and it's locked by a data integrity check.
tots-ps-acq-16	Robin Bigasin	adjusted-16	source-19	S015	Ice Core	9015	Single location		(none)	(none)	0	0	(total volume not recorded)		(total volume not recorded)	13		SKQ-ToTS_S015_tots-ps-acq-16	400	2023-06-20 19:41	2023-06-20T19:41:00	tots-ps-storage-1	622	Yes	PlanktoScope ToTS SKQ 2023 Ice Core	Ice core sample 2 given from Matt. 
tots-ps-acq-17	Robin Bigasin	adjusted-17	source-23	tatertots	Experiment	E01 01	Single location		20	20						14		SKQ-ToTS_tatertots_tots-ps-acq-17	400	2023-06-20 20:52	2023-06-20T20:52:00	tots-ps-storage-1	434	Yes		Experiment sample from Matt.
tots-ps-acq-18	Robin Bigasin	adjusted-18	source-24	tatertots	Experiment	E01 02	Single location		20	20						14		SKQ-ToTS_tatertots_tots-ps-acq-18	400	2023-06-20 21:19	2023-06-20T21:19:00	tots-ps-storage-1	408	Yes		Experiment sample from Matt.
tots-ps-acq-19	Robin Bigasin	adjusted-19	source-25	tatertots	Experiment	E01 03	Single location		20	20						15		SKQ-ToTS_tatertots_tots-ps-acq-19	400	2023-06-20 21:46	2023-06-20T21:46:00	tots-ps-storage-1	230	Yes		Experiment sample from Matt.
tots-ps-acq-20	Robin Bigasin	adjusted-20	source-27	S016	CTD Niskin	45	Single location		20	20	10	10	0.5		0.5	12.5		SKQ-ToTS_S016_tots-ps-acq-20	400	2023-06-21 18:47	2023-06-21T18:47:00	tots-ps-storage-1	1846	Yes		Might have forgotten to change the station number in this dataset?
tots-ps-acq-21	Robin Bigasin	adjusted-21	source-28	S016	CTD Niskin	46	Single location		20	20	2	2	0.5		0.5	12.5		SKQ-ToTS_S016_tots-ps-acq-21	400	2023-06-21 19:20	2023-06-21T19:20:00	tots-ps-storage-1	1831	Yes		Might have forgotten to change the station number in this dataset?
