Source Sample ID	Sample Available Local Timestamp	Sample Type	Station ID (or Local Sampling Timestamp)	(CTD/Net) Cast Number	(CTD/Ice/Experiment) Arrigo Number	(CTD/Ice) Arrigo Bottle Name	(CTD/Ice) Volume (L)	Shallowest Depth (m)	Deepest Depth (m)	Sampling [Start] Local Timestamp	Sampling [Start] UTC Timestamp	Sampling [Start] UTC Date	Sampling [Start] UTC Time	Sampling [Start] Latitude	Sampling [Start] Longitude	(Ice) Volume of Seawater Added (mL)	(Ice) Salinity of Seawater Added (ppt)	(Net Horiz) Sampling End Local Timestamp	(Net Horiz) Sampling End UTC Timetstamp	(Net Horiz) Sampling End Latitude	(Net Horiz) Sampling End Longitude	(Net) Opening Diameter (mm)	(Net) Mesh Size (um)	(Net Horiz) Speed Through Water (kts)	(Net) Filtered Volume (L)	(CTD) Look for Alexandrium?	Metadata Validation Status	Metadata Validator (first name + last initial)	Metadata Validation Notes (describe corrections needed or corrections made)	Sample collection notes
source-1	2023-06-17 07:44	CTD Niskin	S001	1	2	Planktoscope Depth 1 (DCM)	0.5	15	15	2023-06-16 23:50	2023-06-17 07:50	2023-06-17	07:50:00	65.6193	-168.15												TODO	gertvd	added time/date, based on CTD cast	Shakedown run test
source-2	2023-06-17 07:44	CTD Niskin	S001	1	5	Planktoscope Depth 2 (Surface)	0.5	2	2	2023-06-16 23:54	2023-06-17 07:54	2023-06-17	07:54:00	65.6193	-168.15												TODO	gertvd	added time/date, based on CTD cast	Shakedown run test
source-4	2023-06-17 14:49	CTD Niskin	S007	1	17	PlanktoScope Depth 1 (DCM)	0.5	43	43	2023-06-17 06:55	2023-06-17 14:55	2023-06-17	14:55:00	65.7655	-168.742												TODO	gertvd	added time/date, based on CTD cast	Shakedown run test; not used
source-6	2023-06-17 14:49	CTD Niskin	S007	1	17	GM Depth 1 (DCM)	2	43	43	2023-06-17 06:55	2023-06-17 14:55	2023-06-17	14:55:00	65.7655	-168.742												TODO	gertvd	added time/date, based on CTD cast	Shakedown run test of concentrating CTD water
source-5	2023-06-17 14:49	CTD Niskin	S007	1	20	PlanktoScope Depth 2 (Surface)	0.5	2	2	2023-06-17 07:03	2023-06-17 15:03	2023-06-17	15:03:00	65.7655	-168.742												TODO	gertvd	added time/date, based on CTD cast	Shakedown run test; not used
source-11	2023-06-19 16:20	CTD Niskin	S009	1	21	PlanktoScope Depth 1 (DCM)	0.5	11	11	2023-06-19 08:23	2023-06-19 16:23	2023-06-19	16:23:00	70.393	-161.634												TODO	gertvd	added time/date, based on CTD cast	CTD+Chl station; PlanktoScope not actually needed
source-10	2023-06-19 16:20	CTD Niskin	S009	1	22	PlanktoScope Depth 2 (Surface)	0.5	2	2	2023-06-19 08:26	2023-06-19 16:26	2023-06-19	16:26:00	70.393	-161.634												TODO	gertvd	added time/date, based on CTD cast	CTD+Chl station; PlanktoScope not actually needed
source-12	2023-06-19 20:34	CTD Niskin	S011	1	24	PlanktoScope Depth 1 (DCM)	0.5	20	20	2023-06-19 12:40	2023-06-19 20:40	2023-06-19	20:40:00	70.5397	-161.641												TODO	gertvd	added time/date, based on CTD cast	
source-13	2023-06-19 20:34	CTD Niskin	S011	1	26	PlanktoScope Depth 2 (Surface)	0.5	2	2	2023-06-19 12:45	2023-06-19 20:45	2023-06-19	20:45:00	70.5397	-161.641												TODO	gertvd	added time/date, based on CTD cast	
source-16	2023-06-20 07:55	CTD Niskin	S015	1	34	PlanktoScope Depth 1 (DCM)	0.5	10	10	2023-06-20 07:10	2023-06-20 15:10	2023-06-20	15:10:00	70.8893	-161.571												TODO			
